MARQUE,CODE EDI,CODE COMMERCIAL,MODELE COMMERCIAL,BACK OFFICE COMMERCIAL,GÉOMETRIE,DESIGN,INDICE,MATIERE,TRAITEMENT,FLUX COMMERCIAL,COULEUR,PRIX 2*NETS,TAUX DE REMISE GC,PRIX 3*NETS GC,KALIXIA,ITELIS,CARTE BLANCHE,SEVEANE,SANTECLAIRE
CODIR,0C46ST,C46,AUDACE 15_ ST,AUDACE 15_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,STOCK,BLANC,"0,88€","4,78%","0,84€",,,,,
ORUS,0O75ST,O75,ORUS 15_ ST,AUDACE 15_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,NU,STOCK,BLANC,"0,62€","5,00%","0,59€",,,,,
CODIR,0C47ST,C47,AUDACE 15 DYMIC_ ST,AUDACE 15 DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,STOCK,BLANC,"1,56€","5,13%","1,48€",,,,,
ORUS,0O76ST,O76,ORUS 15 DYMIC_ ST,AUDACE 15 DYMIC_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,DYMIC,STOCK,BLANC,"1,04€","5,00%","0,99€",,,,,
CODIR,0C48ST,C48,AUDACE 15 SCINTIL_ ST,AUDACE 15 SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,STOCK,BLANC,"3,60€","5,00%","3,42€",,,,,
ORUS,0O77ST,O77,ORUS 15 SCINTIL_ ST,AUDACE 15 SCINTIL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SCINTIL,STOCK,BLANC,"2,25€","5,00%","2,14€",,,,,
CODIR,0C49ST,C49,AUDACE 15 MISTRAL_ ST,AUDACE 15 MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,MISTRAL,STOCK,BLANC,"7,48€","5,04%","7,10€",,,,,
ORUS,0O78ST,O78,ORUS 15 MISTRAL_ ST,AUDACE 15 MISTRAL_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,MISTRAL,STOCK,BLANC,"5,82€","5,00%","5,53€",,,,,
CODIR,0CSYST,CSY,AFOCAL 15 SAR BLEU_ST,AFOCAL 15 SAR BLEU_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,SAR BLEU,STOCK,BLANC,"6,49€","4,93%","6,17€",,,,,
CODIR,0CE1ST,CE1,AUDACE 15 E-PROTECT_ ST,AUDACE 15 E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,E-PROTECT,STOCK,BLANC,"11,70€","5,00%","11,12€",,,,,
ORUS,0OD4ST,OD4,ORUS 15 E-PROTECT_ST,AUDACE 15 E-PROTECT_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,E-PROTECT,STOCK,BLANC,"9,30€","5,00%","8,84€",,,,,
CODIR,0C4AST,C4A,AUDACE 15 QUATTRO UV_ ST,AUDACE 15 QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV,STOCK,BLANC,"11,70€","5,00%","11,12€",,,,,
ORUS,0O79ST,O79,ORUS 15 QUATTRO UV_ ST,AUDACE 15 QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV,STOCK,BLANC,"9,30€","5,00%","8,84€",,,,,
CODIR,ARFDRX,ARFD,AUDACE 15 QUATTRO UV CLEAN (J+4),AUDACE 15 QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV CLEAN,STOCK,BLANC,"15,60€","5,00%","14,82€",,,,,
ORUS,ASWWRX,ASWW,ORUS 15 QUATTRO UV CLEAN (J+4),AUDACE 15 QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,QUATTRO UV CLEAN,STOCK,BLANC,"12,87€","5,00%","12,23€",,,,,
CODIR,07LDST,7LD,AUDACE 15 B-PROTECT_ST,AUDACE 15 B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT,STOCK,BLANC,"14,62€","5,00%","13,89€",,,,,
ORUS,07MFST,7MF,ORUS 15 B-PROTECT_ST,AUDACE 15 B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT,STOCK,BLANC,"12,24€","5,00%","11,63€",,,,,
CODIR,ARFERX,ARFE,AUDACE 15 B-PROTECT CLEAN (J+4),AUDACE 15 B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT CLEAN,STOCK,BLANC,"18,53€","5,01%","17,60€",,,,,
ORUS,ASWXRX,ASWX,ORUS 15 B-PROTECT CLEAN (J+4),AUDACE 15 B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5",BLANC,B-PROTECT CLEAN,STOCK,BLANC,"15,94€","5,00%","15,14€",,,,,
CODIR,07JIST,7JI,AUDACE 15 SUV_ST,AUDACE 15 SUV_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",NU,STOCK,BLANC,"3,00€","5,01%","2,85€",,,,,
CODIR,07JJST,7JJ,AUDACE 15 SUV DYMIC_ST,AUDACE 15 SUV DYMIC_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",DYMIC,STOCK,BLANC,"3,66€","4,97%","3,48€",,,,,
CODIR,07JKST,7JK,AUDACE 15 SUV SCINTIL_ST,AUDACE 15 SUV SCINTIL_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",SCINTIL,STOCK,BLANC,"5,72€","5,02%","5,43€",,,,,
CODIR,07JLST,7JL,AUDACE 15 SUV MISTRAL_ST,AUDACE 15 SUV MISTRAL_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",MISTRAL,STOCK,BLANC,"9,55€","4,96%","9,08€","72,23 €",,,,
CODIR,07JMST,7JM,AUDACE 15 SUV E-PROTECT_ST,AUDACE 15 SUV E-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",E-PROTECT,STOCK,BLANC,"13,84€","4,98%","13,15€","68,55 €",,,,
CODIR,0VOFST,VOF,AUDACE 15 SUV QUATTRO UV_ ST,AUDACE 15 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV,STOCK,BLANC,"13,84€","4,98%","13,15€","72,23 €",,,,
ORUS,061LST,61L,ORUS 15 SUV QUATTRO UV_ ST,AUDACE 15 SUV QUATTRO UV_ ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV,STOCK,BLANC,"10,93€","5,00%","10,38€",,,,,
CODIR,ARFFRX,ARFF,AUDACE 15 SUV QUATTRO UV CLEAN (J+4),AUDACE 15 SUV QUATTRO UV CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",QUATTRO UV CLEAN,STOCK,BLANC,"17,75€","4,99%","16,86€",,,,,
CODIR,07JNST,7JN,AUDACE 15 SUV B-PROTECT_ST,AUDACE 15 SUV B-PROTECT_ST,UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",B-PROTECT,STOCK,BLANC,"16,70€","5,03%","15,86€","75,20 €",,,,
CODIR,ARFGRX,ARFG,AUDACE 15 SUV B-PROTECT CLEAN (J+4),AUDACE 15 SUV B-PROTECT CLEAN (J+4),UNIFOCAL,AUDACE SPH,"1,5","BLANC SUV 1,5",B-PROTECT CLEAN,STOCK,BLANC,"20,63€","4,98%","19,60€",,,,,
CODIR,07NKRX,7NK,AUDACE 15 SABR DYMIC (J+4),AUDACE 15 SABR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,BRUN,"11,81€","5,01%","11,22€",,,,,
ORUS,0OKHRX,OKH,ORUS 15 SABR DYMIC (J+4),AUDACE 15 SABR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,BRUN,"10,31€","5,00%","9,79€",,,,,
CODIR,07NLRX,7NL,AUDACE 15 SAGR DYMIC (J+4),AUDACE 15 SAGR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,GRIS,"11,81€","5,01%","11,22€",,,,,
ORUS,0OKIRX,OKI,ORUS 15 SAGR DYMIC (J+4),AUDACE 15 SAGR DYMIC (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,DYMIC,STOCK,GRIS,"10,31€","5,00%","9,79€",,,,,
CODIR,07NMRX,7NM,AUDACE 15 SABR MISTRAL (J+4),AUDACE 15 SABR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,BRUN,"20,98€","4,98%","19,94€",,,,,
ORUS,0OKKRX,OKK,ORUS 15 SABR MISTRAL (J+4),AUDACE 15 SABR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,BRUN,"18,26€","5,00%","17,35€",,,,,
CODIR,07NNRX,7NN,AUDACE 15 SAGR MISTRAL (J+4),AUDACE 15 SAGR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,GRIS,"20,98€","4,98%","19,94€",,,,,
ORUS,0OKJRX,OKJ,ORUS 15 SAGR MISTRAL (J+4),AUDACE 15 SAGR MISTRAL (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,MISTRAL,STOCK,GRIS,"18,26€","5,00%","17,35€",,,,,
CODIR,07NORX,7NO,AUDACE 15 SABR QUATTRO UV (J+4),AUDACE 15 SABR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,BRUN,"23,61€","4,99%","22,43€",,,,,
ORUS,0OKLRX,OKL,ORUS 15 SABR QUATTRO UV (J+4),AUDACE 15 SABR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,BRUN,"21,04€","5,00%","19,99€",,,,,
CODIR,07NPRX,7NP,AUDACE 15 SAGR QUATTRO UV (J+4),AUDACE 15 SAGR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,GRIS,"23,61€","4,99%","22,43€",,,,,
ORUS,0OKMRX,OKM,ORUS 15 SAGR QUATTRO UV (J+4),AUDACE 15 SAGR QUATTRO UV (J+4),UNIFOCAL,AUDACE SPH,"1,5",SOLACTIVE,QUATTRO UV,STOCK,GRIS,"21,04€","5,00%","19,99€",,,,,
CODIR,07LEST,7LE,AUDACE 15 UV COLOR BRUN 85% AFOCAL_ST,AUDACE 15 UV COLOR BRUN 85% AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,BRUN,"2,51€","4,89%","2,39€",,,,,
CODIR,07LFST,7LF,AUDACE 15 UV COLOR GRIS 85% AFOCAL_ST,AUDACE 15 UV COLOR GRIS 85% AFOCAL_ST,UNIFOCAL,AUDACE SPH,"1,5",TEINTE,NU,STOCK,GRIS,"2,51€","4,89%","2,39€",,,,,
